236,0
271,1
271,2
342,3
365,4
395,5
370,6
397,7
385,8
406,9
417,10
425,11
422,12
398,13
431,14
434,15
432,16
443,17
456,18
458,19
472,20
455,21
450,22
463,23
454,24
453,25
448,26
471,27
489,28
470,29
511,30
482,31
481,32
467,33
478,34
459,35
479,36
477,37
502,38
484,39
473,40
512,41
516,42
503,43
497,44
507,45
480,46
490,47
513,48
488,49
487,50
491,51
498,52
493,53
485,54
499,55
501,56
520,57
505,58
504,59
515,60
517,61
500,62
522,63
519,64
508,65
518,66
506,67
521,68
510,69
523,70
514,71
524,72
