1	367799.961339
2	80.4203400063
3	127.033832267
4	51.1929058993
5	173.860581535
6	152.860378304
7	78.4000104597
8	228.521719822
9	182.031692145
10	248.332173432
11	159.516241754
12	167.11492566
13	55.2447890455
14	167.417975092
15	187.565150292
16	130.04187848
17	16.622822547
18	76.963331671
19	102.183778844
20	118.548448171
21	30.5518723653
22	20.9104108069
23	142.915867313
24	161.502899142
25	224.413716411
26	65.9076394301
27	287.953080651
28	123.2737745
29	174.06261449
30	321.142605479
31	148.404429248
32	47.8256899884
33	199.193269238
34	27.2968969847
35	37.2975282402
36	252.350384419
37	82.0141555375
38	9.39453239152
39	32.4262892224
40	132.376481512
41	113.329263509
42	71.5084418953
43	320.704867411
44	62.1363576099
45	154.375625464
46	135.721249317
47	256.20023461
48	202.324780035
49	212.112154283
50	195.343419047
51	14.3555638336
52	123.352342871
53	69.0391502273
54	72.0023002289
55	58.5783327973
56	402.101700031
57	391.416401541
58	34.4017225568
59	64.0444466261
60	237.905028161
61	180.437876614
62	99.4002136909
63	73.4502030706
64	192.402717151
65	80.8917502338
66	253.820735367
67	275.64029447
68	429.757766713
69	409.767728255
70	138.673175266
71	386.724747371
72	112.610924115
73	110.197752712
74	180.325636084
75	214.424309209
76	161.794724521
77	202.740069998
78	201.247270944
79	42.0789748337
80	124.553316546
81	86.4476564869
82	50.4970146111
83	60.4864218135
84	29.86720513
85	109.557981689
86	146.462668073
87	48.0726191552
88	169.1128071
89	278.659564736
90	1026.73147556
91	467.594049499
92	57.545719918
93	197.251508063
94	684.981508709
95	103.856162746
96	238.107061116
97	180.853166577
98	414.762431857
99	146.339203489
100	78.8826447403
101	404.155701737
102	446.52650195
103	54.8856193483
104	323.488432564
105	338.607232004
106	103.732698163
107	172.839192709
108	239.162122101
109	627.963319284
110	43.3360687738
111	121.87076787
112	158.000994594
113	512.074971683
114	370.708023688
115	236.748950698
116	148.584014097
117	113.18335082
118	102.565396647
119	293.53143501
120	415.985853638
121	180.774598205
122	82.2723087573
123	124.227819008
124	221.383222091
125	232.248105431
126	183.838764684
127	34.1323452839
128	247.467921348
129	86.3017437974
130	322.927229912
131	225.816723041
132	306.775817593
133	178.597131916
134	381.483114603
135	29.1376416827
136	264.158088213
137	390.731734305
138	234.043953916
139	76.8623151937
140	195.107713933
141	346.273260228
142	79.118349854
143	81.4754009917
144	303.73409922
145	255.818616807
146	74.9878983366
147	160.717215429
148	80.959094552
149	153.343012584
150	412.753326363
