35.363,54.692,27.092
24.381,42.612,28.185
40.195,54.033,29.059
39.097,42.831,29.933
35.144,45.687,28.84
25.918,46.126,29.933
41.513,25.918,29.496
37.779,47.004,30.37
28.993,41.953,31.025
34.265,55.131,31.244
35.583,34.704,31.681
24.381,65.674,30.807
46.126,27.236,31.244
44.149,43.27,32.992
34.045,38.219,32.992
42.172,48.103,33.21
35.144,63.258,32.118
31.849,46.346,34.084
28.993,53.374,33.865
34.045,42.172,34.302
37.999,57.328,32.992
38.438,37.56,34.302
42.172,65.455,34.084
27.676,60.403,34.084
27.676,66.333,33.865
49.421,31.629,34.521
38.438,44.149,36.05
43.49,54.033,35.395
42.172,34.924,34.521
33.606,48.981,35.613
48.762,51.837,36.487
43.27,39.976,36.269
55.571,32.947,34.958
32.068,53.814,36.269
33.606,59.305,36.487
44.149,59.524,34.958
46.346,35.802,36.05
32.068,64.576,36.487
53.594,49.201,36.269
42.612,45.247,39.546
36.242,54.912,38.017
37.779,49.64,38.235
38.438,60.623,39.109
54.912,35.583,37.798
50.299,37.56,38.454
45.906,41.294,38.891
42.831,50.519,39.765
37.34,66.992,39.328
58.646,39.976,39.546
41.953,54.472,41.076
48.981,46.126,40.639
53.374,42.172,40.42
39.536,45.687,39.983
41.294,58.646,41.076
51.617,47.224,41.731
46.565,51.397,42.168
47.224,56.01,41.95
43.71,63.478,41.731
42.831,66.992,41.731
61.94,45.687,41.076
50.08,51.837,42.605
56.669,49.86,42.168
47.444,59.524,43.479
59.085,52.715,42.823
52.935,54.692,43.479
49.64,67.212,43.26
53.814,59.085,44.353
49.86,63.478,43.916
54.472,70.726,43.697
60.183,67.212,44.134
