,points_in_feature,sphere_x_abs,sphere_y_abs,sphere_z_abs,sphere_radius,sphere_res_var,sphere_volume,sphere_x_rel,sphere_y_rel,sphere_z_resl,sphere_R,sphere_angle_raw,para_p1,para_p2,para_p3,para_p4,para_p5,para_alpha,para_beta,para_gamma,para_apex_x,para_apex_y,para_apex_z
0,94783.0,-1413.1358193,290.081353576,278.480039665,1435.3836658,26.2118106503,12387755034.8,0.0,0.0,0.0,0.0,0.0,7.24107956925e-05,0.00011900917472,-0.0310531466495,-0.0517025573919,3.16927127121,-0.592263781394,1.55253219945,0.616133456048,14.1700900142,214.746923126,216.514797736
1,7602.0,531.00623817,422.839250078,396.407110232,519.720846506,4.85569891697,588029373.567,1944.14205747,132.757896502,117.927070568,1952.23456395,48.3857412269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6957.0,409.1642423,421.171268108,289.775030106,398.241437229,7.30201026153,264562294.897,1822.3000616,131.089914532,11.2949904411,1827.04396691,85.0754342605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
