plant t id age layer
1 16 192 16 L1
1 16 95 12 L3+
1 16 104 16 L3+
1 16 37 8 L3+
1 16 128 12 L3+
1 16 248 4 L2
1 16 207 12 L3+
1 16 183 8 L3+
1 16 209 4 L3+
1 16 160 8 L2
1 16 245 16 L2
1 16 217 8 L1
1 16 252 16 L2
1 16 79 16 L3+
1 16 145 8 L3+
1 16 170 16 L2
1 16 179 8 L1
1 16 275 12 L2
1 16 256 12 L2
1 16 219 12 L2
1 16 257 16 L1
1 16 264 16 L1
1 16 272 12 L2
1 16 238 12 L3+
1 16 324 16 L2
1 16 217 8 L1
1 16 335 8 L2
1 16 216 12 L2
1 16 307 12 L2
1 16 247 8 L2
1 16 368 16 L2
1 16 297 12 L2
1 16 237 8 L2
1 16 299 8 L3+
1 16 387 16 L2
1 16 374 12 L1
1 16 274 16 L2
1 16 352 16 L2
1 16 391 16 L2
1 16 341 12 L2
1 16 373 12 L2
1 16 353 12 L3+
1 16 185 4 L3+
1 16 363 16 L2
1 16 412 16 L3+
1 16 414 8 L1
1 16 440 8 L2
1 16 367 12 L1
1 16 430 16 L1
1 16 397 12 L2
1 16 438 8 L2
1 16 452 8 L2
1 16 470 12 L2
1 16 483 8 L1
1 16 399 8 L1
1 16 456 12 L2
1 16 508 16 L1
1 16 492 16 L1
1 16 517 16 L1
1 16 499 8 L1
1 16 494 16 L1
1 16 469 16 L1
1 16 545 16 L2
1 16 537 16 L1
1 16 564 16 L1
1 16 530 8 L1
1 16 574 16 L1
1 16 560 8 L1
1 16 575 16 L1
1 16 584 16 L1
1 16 585 16 L1
1 16 605 16 L1
1 16 592 8 L1
1 16 616 16 L1
1 16 620 16 L1
1 16 593 16 L1
1 16 624 16 L1
1 20 243 NA L3+
1 20 260 NA L3+
1 20 229 NA L3+
1 20 165 NA L2
1 20 190 NA L3+
1 20 231 NA L2
1 20 270 NA L2
1 20 350 NA L2
1 20 370 NA L3+
1 20 278 NA L3+
1 20 224 NA L3+
1 20 321 NA L3+
1 20 436 NA L3+
1 20 241 NA L3+
1 20 291 NA L3+
1 20 138 NA L1
1 20 358 NA L3+
1 20 416 12 L3+
1 20 399 NA L3+
1 20 415 16 L2
1 20 452 16 L3+
1 20 411 NA L3+
1 20 480 12 L3+
1 20 421 12 L3+
1 20 279 NA L3+
1 20 374 12 L3+
1 20 521 20 L3+
1 20 408 20 L3+
1 20 543 20 L2
1 20 517 20 L3+
1 20 413 NA L1
1 20 565 12 L3+
1 20 487 16 L3+
1 20 482 16 L3+
1 20 554 8 L3+
1 20 398 20 L3+
1 20 523 8 L3+
1 20 531 16 L3+
1 20 548 8 L2
1 20 544 8 L3+
1 20 570 8 L3+
1 20 555 20 L3+
1 20 601 20 L1
1 20 575 12 L3+
1 20 667 16 L2
1 20 553 12 L3+
1 20 595 12 L2
1 20 442 20 L3+
1 20 618 12 L3+
1 20 679 20 L1
1 20 576 12 L3+
1 20 613 12 L3+
1 20 646 20 L3+
1 20 582 12 L3+
1 20 591 8 L3+
1 20 397 0 L3+
1 20 612 16 L3+
1 20 674 4 L3+
1 20 622 20 L3+
1 20 683 8 L3+
1 20 86 20 L3+
1 20 662 16 L2
1 20 652 12 L3+
1 20 579 20 L3+
1 20 508 12 L3+
1 20 610 8 L1
1 20 743 8 L2
1 20 690 8 L3+
1 20 745 16 L3+
1 20 737 8 L3+
1 20 742 12 L3+
1 20 733 8 L3+
1 20 769 12 L2
1 20 716 12 L3+
1 20 706 16 L3+
1 20 775 8 L3+
1 20 770 8 L2
1 20 760 8 L2
1 20 773 20 L3+
1 20 861 12 L2
1 20 833 4 L2
1 20 696 12 L2
1 20 846 4 L2
1 20 827 12 L3+
1 20 870 12 L1
1 20 894 8 L2
1 20 904 20 L1
1 20 777 8 L2
1 20 843 16 L3+
1 20 881 8 L3+
1 20 858 16 L3+
1 20 897 20 L3+
1 20 860 8 L2
1 20 869 8 L3+
1 20 855 8 L2
1 20 945 12 L2
1 20 916 12 L2
1 20 822 12 L3+
1 20 888 12 L3+
1 20 937 12 L2
1 20 942 4 L2
1 20 965 16 L2
