0	4	8	12	16	20	24	28	32	36	40	44	48	52	56	60	64	68	72	76
392	123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
393	49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
394	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
395	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
396	59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
396	202	47	153	177	404	542	595	54	57	270	218	NA	NA	NA	NA	NA	NA	NA	NA
396	202	47	153	177	404	542	595	54	57	270	372	NA	NA	NA	NA	NA	NA	NA	NA
396	202	47	153	177	404	542	776	284	300	460	474	NA	NA	NA	NA	NA	NA	NA	NA
397	156	77	89	167	96	250	101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
397	156	77	89	167	96	250	346	90	96	100	106	NA	NA	NA	NA	NA	NA	NA	NA
397	156	77	89	167	385	556	722	294	425	449	427	NA	NA	NA	NA	NA	NA	NA	NA
397	156	77	89	167	385	556	733	305	453	462	499	NA	NA	NA	NA	NA	NA	NA	NA
398	94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
398	210	85	194	231	490	652	701	239	283	305	290	NA	NA	NA	NA	NA	NA	NA	NA
399	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
400	166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
401	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
402	133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
403	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
404	135	26	24	25	260	427	469	23	20	194	30	NA	NA	NA	NA	NA	NA	NA	NA
404	135	26	24	25	260	427	469	23	20	194	261	NA	NA	NA	NA	NA	NA	NA	NA
404	135	26	24	25	260	506	621	18	225	344	353	NA	NA	NA	NA	NA	NA	NA	NA
404	153	20	16	20	259	405	493	15	14	210	188	NA	NA	NA	NA	NA	NA	NA	NA
404	153	20	16	20	259	405	493	15	14	210	330	NA	NA	NA	NA	NA	NA	NA	NA
405	174	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
406	160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
407	190	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
407	190	63	65	193	365	531	712	317	409	439	367	NA	NA	NA	NA	NA	NA	NA	NA
407	190	63	65	193	365	531	712	317	595	630	632	NA	NA	NA	NA	NA	NA	NA	NA
408	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
409	121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
410	130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
411	142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
412	134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
413	172	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
414	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
415	176	64	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
416	138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
417	136	86	97	137	342	501	582	110	263	259	125	NA	NA	NA	NA	NA	NA	NA	NA
417	136	86	97	137	342	501	784	356	473	479	442	NA	NA	NA	NA	NA	NA	NA	NA
417	217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
418	157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
419	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
420	180	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
421	173	41	41	43	261	423	540	44	246	346	318	NA	NA	NA	NA	NA	NA	NA	NA
421	173	41	41	43	261	423	585	50	257	386	320	NA	NA	NA	NA	NA	NA	NA	NA
422	164	46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
423	189	96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
424	169	112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
425	141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
426	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
427	181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
428	145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
429	149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
430	116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
430	195	98	111	210	436	546	680	220	329	291	245	NA	NA	NA	NA	NA	NA	NA	NA
430	195	98	111	210	436	674	811	348	436	421	345	NA	NA	NA	NA	NA	NA	NA	NA
431	151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
432	143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
433	127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
434	198	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
435	201	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
436	69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
437	183	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
438	211	99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
439	213	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
440	226	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
441	191	59	63	218	393	565	746	353	502	548	586	NA	NA	NA	NA	NA	NA	NA	NA
441	191	59	63	218	393	684	993	455	602	741	784	NA	NA	NA	NA	NA	NA	NA	NA
441	191	59	63	218	393	684	993	455	602	853	896	NA	NA	NA	NA	NA	NA	NA	NA
441	191	59	63	218	393	684	993	588	763	843	893	NA	NA	NA	NA	NA	NA	NA	NA
441	191	59	63	218	393	684	993	588	896	995	1049	NA	NA	NA	NA	NA	NA	NA	NA
442	209	58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
443	161	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
444	185	104	117	196	333	383	559	135	317	192	150	NA	NA	NA	NA	NA	NA	NA	NA
444	185	104	117	196	333	550	716	308	485	370	276	NA	NA	NA	NA	NA	NA	NA	NA
445	187	110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
446	162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
447	171	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
448	159	8	9	9	214	339	420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
449	208	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
450	215	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
451	177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
453	152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
454	148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
455	137	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
456	146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
457	235	81	92	200	297	419	606	168	392	330	242	NA	NA	NA	NA	NA	NA	NA	NA
458	218	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
459	170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
460	158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
461	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
462	222	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
463	188	113	126	186	410	551	639	235	272	177	165	NA	NA	NA	NA	NA	NA	NA	NA
464	220	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
465	144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
466	192	71	76	77	281	432	618	167	353	285	300	NA	NA	NA	NA	NA	NA	NA	NA
467	207	84	94	202	314	472	658	215	399	337	227	NA	NA	NA	NA	NA	NA	NA	NA
467	207	84	94	202	314	472	658	215	489	413	333	NA	NA	NA	NA	NA	NA	NA	NA
468	179	93	196	239	475	634	735	270	327	338	296	NA	NA	NA	NA	NA	NA	NA	NA
468	179	93	196	239	475	634	831	364	418	427	385	NA	NA	NA	NA	NA	NA	NA	NA
469	186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
470	219	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
471	221	30	31	152	300	449	594	31	230	322	331	NA	NA	NA	NA	NA	NA	NA	NA
472	163	32	138	162	369	534	601	32	34	242	262	NA	NA	NA	NA	NA	NA	NA	NA
472	163	32	138	162	369	534	601	177	204	382	383	NA	NA	NA	NA	NA	NA	NA	NA
472	163	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
473	216	44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
473	216	143	49	166	411	545	637	206	251	303	366	NA	NA	NA	NA	NA	NA	NA	NA
473	216	143	49	166	411	545	637	206	251	458	509	NA	NA	NA	NA	NA	NA	NA	NA
473	216	143	49	166	411	563	655	207	167	350	356	NA	NA	NA	NA	NA	NA	NA	NA
473	216	143	49	166	411	563	655	207	167	350	469	NA	NA	NA	NA	NA	NA	NA	NA
473	216	143	49	304	533	712	852	331	372	519	573	NA	NA	NA	NA	NA	NA	NA	NA
473	216	143	49	304	533	712	852	372	404	568	568	NA	NA	NA	NA	NA	NA	NA	NA
473	216	143	49	304	533	712	852	372	404	568	711	NA	NA	NA	NA	NA	NA	NA	NA
474	197	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
475	238	34	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
476	205	54	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
477	204	51	54	164	291	453	643	161	366	401	311	NA	NA	NA	NA	NA	NA	NA	NA
477	204	51	54	164	291	453	643	161	366	511	532	NA	NA	NA	NA	NA	NA	NA	NA
477	204	51	188	346	488	696	872	464	634	705	713	NA	NA	NA	NA	NA	NA	NA	NA
477	204	51	188	346	488	696	872	464	653	736	766	NA	NA	NA	NA	NA	NA	NA	NA
478	165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
479	178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
480	229	7	6	10	250	353	468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
481	230	35	160	188	398	581	678	195	256	424	433	NA	NA	NA	NA	NA	NA	NA	NA
