353,0
353,1
313,2
448,3
233,4
510,5
528,6
529,7
527,8
518,9
530,10
518,11
540,12
531,13
488,14
488,15
552,16
524,17
547,18
539,19
549,20
570,21
539,22
572,23
571,24
562,25
568,26
576,27
573,28
574,29
575,30
580,31
596,32
599,33
592,34
601,35
591,36
598,37
625,38
604,39
593,40
612,41
603,42
611,43
613,44
610,45
615,46
622,47
632,48
617,49
644,50
636,51
629,52
623,53
628,54
639,55
627,56
633,57
647,58
643,59
634,60
638,61
648,62
645,63
630,64
637,65
635,66
641,67
642,68
640,69
650,70
649,71
646,72
